TweetDate,TweetText,TweetAuthor,TweetLocation,AllHashtags
2021-03-25 23:45:27,"RT @thenephrologist: Me: Are you open to getting the #CovidVaccine?

BM pt: No. I don't trust the govt. Idk what's in it.

Me: I hear you.…",DoctorBonzo,"Savannah, GA",['CovidVaccine']
2021-03-25 23:45:15,RT @DaveMcKinley2: From Allegany Co. Dept. of health regarding #CovidVaccine : “Please let the public know if they want the vaccine they sh…,hopehitchcock68,,['CovidVaccine']
2021-03-25 23:45:15,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",CFitzBroadway,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:45:09,"Already follow us/ like us on Facebook, Instagram, or Twitter?You’re half way there!  Post a picture with our pins and enter to win a 25 pin pack!  Drawing on March 31st!  #thisisourshot #COVID19 #CovidVaccines #vaccinated #VaccinesSaveLives #igottheshot  https://t.co/CMZQuUzytF https://t.co/flpDqnISsg",Pinning_Me,"Lincoln, RI","['thisisourshot', 'COVID19', 'CovidVaccines', 'vaccinated', 'VaccinesSaveLives', 'igottheshot']"
2021-03-25 23:45:02,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",BrendaW00557304,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:44:55,My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friends 🌎 Please get #vaccinated do it your your elders and a covid free world 🌍🙏🏻♥️ https://t.co/Mq5aRjjHcn,phinandme,"Vancouver, British Columbia",['vaccinated']
2021-03-25 23:44:46,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",politickrazy,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:44:41,"#PBSNEWS
That segment on people helping others get #Vaccinated 
🤗😭🤗😭",mfly1971,"Memphis, TN","['PBSNEWS', 'Vaccinated']"
2021-03-25 23:44:36,"RT @mvvoice: Big #CovidVaccine news from @GavinNewsom today: Anyone ages 50 and up eligible starting April 1, ages 16 &amp; up on April 15 and…",RachelBratt,,['CovidVaccine']
2021-03-25 23:44:14,"RT @macovidvaxhelp: Faces of our #VaccineEquity efforts, a thread🧵

We helped a homebound 72yr old man with ALS &amp; on a ventilator. Our volu…",AlanFeldstein,,['VaccineEquity']
2021-03-25 23:43:49,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",KingofPopTweets,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:43:40,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",heymon811,"ロンドン, London","['KrispyKreme', 'vaccinated']"
2021-03-25 23:43:25,Movie night for the first time in over a year! Definitely one of the things we have missed most. Grateful to be #vaccinated https://t.co/Lrl6RWj6ve,jdfleming11,Jonesboro,['vaccinated']
2021-03-25 23:43:25,Got a #CovidVaccine? You can get a donut from them. 🍩 https://t.co/EIIs4hNnvo,svknyc,,['CovidVaccine']
2021-03-25 23:43:14,RT @chiefgrandjamb: I got my #COVID19Vaccine today in @FortMcKay from @AHS_media Stephanie Howse BN RN. I got the shot to help keep my fami…,AHS_media,Alberta,['COVID19Vaccine']
2021-03-25 23:43:00,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",mitch_philbin,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:42:49,"RT @RaymondChoPC: Got my #COVID19Vaccine shot today. A big #ThankYou to the nurses and all the #HealthcareHeroes!!!

I encourage every elig…",MichaelTibollo,"5100 Rutherford Rd.,Unit 3.","['COVID19Vaccine', 'ThankYou', 'HealthcareHeroes']"
2021-03-25 23:42:30,Bravo to #Rutgers for requiring on-campus students to get #COVIDvaccine. Get the faculty &amp; staff too. They're not privileged. https://t.co/lSDCQoAPBO,BillCatlette,"ZOOMing, where else?","['Rutgers', 'COVIDvaccine']"
2021-03-25 23:42:23,RT @karasundlun: #BREAKING anyone 16 and up can get #COVIDVACCINE as of April 1st,BOConnell53090,"Connecticut, USA","['BREAKING', 'COVIDVACCINE']"
2021-03-25 23:42:22,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",mcbride5441,"Mississippi, USA","['KrispyKreme', 'vaccinated']"
